customer_id,age,income,debt,credit_limit,credit_used,employment_years,employment_type,target,debt_to_income,credit_utilization,income_per_age,employment_stability,income_to_credit,income_squared,debt_impact,age_group
CUST_00000,58,34592,32098,19628,4572,1,Self-Employed,0,0.927875581765097,0.23292067858780377,586.3050847457627,0.01694915254237288,1.7622904885628408,1196606464,7476.287941311325,56+
CUST_00001,61,117080,110604,7082,244,34,Salaried,0,0.9446793245701693,0.03444867993787943,1888.3870967741937,0.5483870967741935,16.529719045602146,13707726400,3810.1617958492166,56+
CUST_00003,32,78878,1703,15463,11438,9,Salaried,0,0.021590030299572762,0.7396533885152613,2390.242424242424,0.2727272727272727,5.100750129332644,6221738884,1259.62972064149,26-35
CUST_00004,35,40379,44118,11698,1519,6,Self-Employed,0,1.0925705794947993,0.12984015727839987,1121.638888888889,0.16666666666666666,3.4514915804769637,1630463641,5728.288058808445,26-35
CUST_00005,40,131082,22780,35108,8180,11,Salaried,0,0.1737830229701792,0.2329886923580848,3197.121951219512,0.2682926829268293,3.7335725882252415,17182490724,5307.482411917172,36-45
CUST_00006,42,30328,41198,45535,23700,17,Salaried,0,1.3583698770153978,0.5204673225579761,705.3023255813954,0.3953488372093023,0.666022487702038,919787584,21442.2127547435,36-45
CUST_00007,63,29116,50663,23965,2614,2,Salaried,1,1.7399800803654222,0.1090711841775849,454.9375,0.03125,1.2148877576566803,847741456,5525.873403988984,56+
CUST_00008,73,33238,47819,15659,6065,24,Salaried,0,1.4386413550347483,0.38729246487867175,449.1621621621622,0.32432432432432434,2.122477650063857,1104764644,18519.938378033203,56+
CUST_00009,60,54993,83227,16215,8751,41,Salaried,0,1.513383278175801,0.5396521953626048,901.5245901639345,0.6721311475409836,3.391280217069561,3024230049,44913.63326344351,56+
CUST_00010,28,80589,146001,19392,10626,6,Salaried,1,1.8116515696736568,0.547929665343165,2778.9310344827586,0.20689655172413793,4.155571597999278,6494586921,79998.27906976744,26-35
CUST_00011,67,27331,52759,25673,13145,14,Self-Employed,1,1.930301478120884,0.5119965724078834,401.9264705882353,0.20588235294117646,1.0645400015579964,746983561,27012.427163667522,56+
CUST_00012,31,139686,164981,18934,16358,9,Self-Employed,1,1.1810762633602268,0.8639028254555057,4365.1875,0.28125,7.377132294692369,19512178596,142527.55204647477,26-35
CUST_00013,76,104259,36603,21162,18394,29,Salaried,0,0.35107423748321503,0.8691584368945802,1354.012987012987,0.37662337662337664,4.92647545244058,10869939081,31813.806265652318,56+
CUST_00014,65,96622,104700,28723,7186,27,Self-Employed,0,1.083592933359552,0.2501740704637237,1463.969696969697,0.4090909090909091,3.363807269182565,9335810884,26193.22517755187,56+
CUST_00015,26,86784,12351,12185,2504,7,Salaried,0,0.14231722071786598,0.20548170031183324,3214.222222222222,0.25925925925925924,7.121614967996061,7531462656,2537.9044805514523,26-35
CUST_00016,68,109192,100864,30009,19526,27,Salaried,0,0.9237222166256078,0.6506497834055315,1582.4927536231885,0.391304347826087,3.6385204931689437,11922892864,65627.13975341553,56+
CUST_00017,51,52953,89166,12507,11169,0,Unemployed,1,1.6838388034898213,0.892948512951711,1018.3269230769231,0.0,4.233530540454109,2804020209,79620.64710585226,46-55
CUST_00018,66,54973,38469,33492,10365,41,Salaried,0,0.6997671626587114,0.3094676499567074,820.4925373134329,0.6119402985074627,1.6413280386946527,3022030729,11904.911026184576,56+
CUST_00020,73,101959,133080,44909,13035,19,Self-Employed,0,1.3052177324440957,0.29024716098864395,1377.8243243243244,0.25675675675675674,2.270296147851258,10395637681,38626.09218436874,56+
CUST_00021,66,41174,69514,5037,4906,34,Self-Employed,1,1.6882574377656345,0.9737991266375546,614.5373134328358,0.5074626865671642,8.172687574434299,1695298276,67692.67248908298,56+
CUST_00022,19,34662,40306,20692,1898,1,Self-Employed,0,1.1627960649684101,0.09172183830280771,1733.1,0.05,1.6750591987628667,1201454244,3696.9404146329675,18-25
CUST_00023,54,144118,254798,9535,8727,5,Salaried,1,1.7679695251840493,0.9151635906040269,2620.327272727273,0.09090909090909091,15.113045302013424,20769997924,233181.85255872484,46-55
CUST_00024,26,106474,43287,22370,17290,7,Self-Employed,0,0.4065461375909838,0.7728755978722454,3943.4814814814813,0.25925925925925924,4.7594653792856825,11336712676,33455.466005095885,26-35
CUST_00025,45,146400,105461,25428,13074,6,Self-Employed,0,0.7203571013859195,0.5141374021786149,3182.608695652174,0.13043478260869565,5.757206339219002,21432960000,54221.44457115891,36-45
CUST_00026,59,68944,118354,12930,4061,28,Self-Employed,1,1.7166437015011966,0.31405150413734434,1149.0666666666666,0.4666666666666667,5.331683551156137,4753275136,37169.25172067125,56+
CUST_00027,39,22757,38564,19432,235,18,Salaried,1,1.6945250021970295,0.012092831780991098,568.925,0.45,1.1710492461277209,517881049,466.3479648021407,36-45
CUST_00028,58,27716,2058,26654,2321,14,Salaried,0,0.07425046000649421,0.08707559557306321,469.76271186440675,0.23728813559322035,1.0398049146501593,768176656,179.2015756893641,56+
CUST_00029,35,107684,34684,42423,37762,15,Salaried,0,0.32208757022797974,0.8901093720535546,2991.222222222222,0.4166666666666667,2.538280218744107,11595843856,30872.553460305488,26-35
CUST_00030,68,81993,25409,48187,28249,26,Salaried,0,0.30988852842890946,0.5862247862538391,1188.304347826087,0.37681159420289856,1.7015232007968788,6722852049,14895.385593923798,56+
CUST_00031,44,81213,25799,8972,6596,23,Salaried,0,0.31766690472086095,0.7350941714030982,1804.7333333333333,0.5111111111111111,9.050819124038783,6595551369,18964.69452802853,36-45
CUST_00032,69,132941,99724,40146,29400,6,Salaried,0,0.7501316363526952,0.7323087652875682,1899.1571428571428,0.08571428571428572,3.311355767554238,17673309481,73028.75930953745,56+
CUST_00033,29,56509,9880,34041,6416,7,Salaried,0,0.17483631215714032,0.18847306268726866,1883.6333333333334,0.23333333333333334,1.6599788496563068,3193267081,1862.1138593502144,26-35
CUST_00034,52,129579,254016,11112,3872,0,Unemployed,1,1.9603025158203427,0.3484207684693602,2444.8867924528304,0.0,11.660127778277692,16790717241,88504.449923513,46-55
CUST_00035,49,83092,15370,15789,6209,13,Self-Employed,0,0.18497346346864357,0.3932235592146928,1661.84,0.26,5.2623179227359085,6904280464,6043.846105129829,46-55
CUST_00036,42,54760,91303,41422,31894,14,Salaried,1,1.6672997206040796,0.7699587185862926,1273.4883720930231,0.32558139534883723,1.3219708857398065,2998657600,70299.54088308428,36-45
CUST_00037,36,48534,71066,8994,5138,1,Salaried,1,1.4642216956835274,0.5712062256809338,1311.7297297297298,0.02702702702702703,5.395664257921068,2355549156,40593.341634241246,36-45
CUST_00038,55,82493,139231,15317,931,32,Self-Employed,0,1.6877712318471647,0.06077816947382165,1473.0892857142858,0.5714285714285714,5.385363624494059,6805095049,8462.205314009661,46-55
CUST_00039,23,131587,35631,49250,15414,1,Salaried,0,0.27077697054442657,0.31296826460376437,5482.791666666667,0.041666666666666664,2.671763009888124,17315138569,11151.372236096728,18-25
CUST_00040,78,136691,20836,45591,5372,36,Salaried,0,0.1524302812161648,0.1178276890682576,1730.26582278481,0.45569620253164556,2.9981356378311985,18684429481,2455.0577294262152,56+
CUST_00041,55,94085,68358,18386,10295,33,Salaried,0,0.7265480517824119,0.5599064556480122,1680.0892857142858,0.5892857142857143,5.116930439984772,8851987225,38274.08549518682,46-55
CUST_00042,43,37154,59929,25720,24637,21,Salaried,1,1.6129457677297807,0.9578554488550212,844.4090909090909,0.4772727272727273,1.4445006026204268,1380419716,57403.319194432566,36-45
CUST_00043,18,80068,19204,40234,13969,0,Unemployed,0,0.23984313529580736,0.34718528644215235,4214.105263157895,0.0,1.9900086988939978,6410884624,6667.346240835093,18-25
CUST_00044,26,142324,128075,29217,9338,5,Self-Employed,0,0.8998770419813806,0.319597508385242,5271.259259259259,0.18518518518518517,4.871106851940585,20256120976,40932.45088643987,26-35
CUST_00045,71,91200,171435,39664,512,45,Salaried,0,1.8797491255578338,0.0129081053825791,1266.6666666666667,0.625,2.299256271271902,8317440000,2212.901046262448,56+
CUST_00046,53,59240,17601,22332,3782,6,Self-Employed,0,0.29710842153238465,0.16934581113150943,1097.037037037037,0.1111111111111111,2.6525769041328977,3509377600,2980.6556217256975,46-55
CUST_00047,65,92512,158552,18803,11235,9,Salaried,1,1.7138348124047431,0.5974792597319719,1401.6969696969697,0.13636363636363635,4.919804296958094,8558470144,94731.53158902361,56+
CUST_00048,58,131792,131659,8329,1512,16,Salaried,0,0.9989832540423239,0.1815126050420168,2233.762711864407,0.2711864406779661,15.821368547418967,17369131264,23897.76806722689,56+
CUST_00049,71,56265,101072,13573,10438,2,Salaried,0,1.7963246010023814,0.7689700898777074,781.4583333333334,0.027777777777777776,4.145056726094003,3165750225,77721.34492411965,56+
CUST_00050,28,117154,112115,41759,633,7,Salaried,0,0.9569800691391745,0.015158045977011494,4039.793103448276,0.2413793103448276,2.805411877394636,13725059716,1699.4443247126437,26-35
CUST_00051,78,135750,18889,29196,19087,44,Self-Employed,0,0.13914446302421346,0.6537315477617563,1718.3544303797469,0.5569620253164557,4.649450285988286,18428062500,12348.335205671816,56+
CUST_00052,45,36704,5229,28449,6883,1,Salaried,0,0.14246015529219452,0.24193321616871705,797.9130434782609,0.021739130434782608,1.2901230228471001,1347183616,1265.0687873462214,36-45
CUST_00053,60,33473,53264,45675,10128,22,Self-Employed,0,1.5912051144171595,0.2217357036518084,548.7377049180328,0.36065573770491804,0.7328356248358,1120441729,11810.530519309923,56+
CUST_00054,33,133325,92826,32020,812,5,Self-Employed,0,0.6962332928311057,0.025358358577183722,3921.323529411765,0.14705882352941177,4.163673839043128,17775555625,2353.9149932856562,26-35
CUST_00056,35,40866,5075,35847,14577,3,Salaried,0,0.12418332640027406,0.4066335639366213,1135.1666666666667,0.08333333333333333,1.1399799151975005,1670029956,2063.665336978353,26-35
CUST_00057,76,80332,59662,19609,775,22,Salaried,0,0.7426835795999154,0.0395206527281999,1043.2727272727273,0.2857142857142857,4.096481387047425,6453230224,2357.8811830698623,56+
CUST_00058,43,63025,101361,23292,11506,8,Self-Employed,1,1.608241043378923,0.49396814493624697,1432.3863636363637,0.18181818181818182,2.7057485081354913,3972150625,50069.10513888293,36-45
CUST_00059,43,109065,7235,12559,4279,17,Salaried,0,0.0663359800487778,0.3406847133757962,2478.75,0.38636363636363635,8.683519108280255,11895174225,2464.8539012738856,36-45
